ts,elapsed,gpu_core,gpu_util,gpu_power,gpu_clock,gpu_vram,cpu_tctl,cpu_ccd1,pump_rpm,rad_rpm,rad_duty,f1_duty,f2_duty,f3_duty,f1_rpm,f2_rpm,f3_rpm
1787460913,196.1,62.0,95.0,405.66,2805.0,64.0,66.25000762939453,63.000003814697266,2160.0,2235.099365234375,68.62744903564453,31,34,49,751,751,1084
1787460915,197.6,63.0,96.0,422.44,2805.0,66.0,65.62500762939453,65.0,2163.46142578125,2235.099365234375,68.62744903564453,31,34,49,752,753,1086
1787460916,199.1,63.0,97.0,390.99,2805.0,66.0,63.62500762939453,56.750003814697266,2163.46142578125,2235.099365234375,68.62744903564453,31,34,49,750,751,1083
1787460918,200.6,63.0,95.0,422.85,2805.0,66.0,63.12500762939453,59.125003814697266,2163.46142578125,2231.405029296875,68.62744903564453,31,34,49,752,758,1086
1787460919,202.1,64.0,97.0,426.42,2797.0,66.0,63.37500762939453,62.750003814697266,2166.93408203125,2242.52490234375,68.62744903564453,31,34,49,752,760,1084
1787460921,203.6,64.0,96.0,423.53,2805.0,66.0,63.62500762939453,63.250003814697266,2170.41796875,2238.805908203125,68.62744903564453,31,34,49,752,758,1090
1787460922,205.1,64.0,93.0,426.25,2805.0,66.0,63.62500762939453,63.250003814697266,2170.41796875,2238.805908203125,68.62744903564453,31,34,49,748,756,1092
1787460924,206.6,64.0,84.0,421.65,2805.0,66.0,62.12500762939453,58.750003814697266,2166.93408203125,2246.25634765625,68.62744903564453,31,34,49,747,759,1086
1787460925,208.1,64.0,96.0,418.19,2805.0,66.0,62.12500762939453,58.750003814697266,2166.93408203125,2246.25634765625,68.62744903564453,31,34,49,752,756,1090
1787460927,209.6,64.0,96.0,420.37,2805.0,66.0,62.37500762939453,56.375003814697266,2173.9130859375,2231.405029296875,68.62744903564453,31,34,49,750,756,1088
1787460928,211.1,64.0,94.0,421.18,2805.0,66.0,62.37500762939453,56.375003814697266,2173.9130859375,2231.405029296875,68.62744903564453,31,34,49,742,757,1092
1787460930,212.6,65.0,95.0,426.46,2797.0,66.0,62.87500762939453,59.375003814697266,2166.93408203125,2231.405029296875,68.62744903564453,31,34,49,752,753,1090
1787460931,214.1,64.0,94.0,424.74,2805.0,66.0,62.87500762939453,59.375003814697266,2166.93408203125,2231.405029296875,68.62744903564453,31,34,49,750,752,1090
1787460933,215.6,64.0,94.0,421.04,2805.0,66.0,62.62500762939453,60.875003814697266,2163.46142578125,2202.283935546875,68.62744903564453,31,34,49,750,755,1092
1787460934,217.1,65.0,94.0,422.44,2797.0,66.0,62.62500762939453,60.875003814697266,2163.46142578125,2202.283935546875,68.62744903564453,31,34,49,748,755,1083
1787460936,218.6,65.0,97.0,426.52,2805.0,68.0,62.37500762939453,58.125003814697266,2163.46142578125,2205.88232421875,68.62744903564453,31,34,49,750,752,1094
1787460937,220.1,65.0,94.0,427.67,2805.0,68.0,61.87500762939453,60.000003814697266,2163.46142578125,2213.11474609375,68.62744903564453,31,34,49,750,759,1090
1787460939,221.6,65.0,96.0,432.36,2797.0,68.0,62.87500762939453,58.125003814697266,2160.0,2209.49267578125,68.62744903564453,31,34,49,751,758,1088
1787460940,223.1,66.0,94.0,432.77,2797.0,68.0,62.87500762939453,63.625003814697266,2170.41796875,2205.88232421875,68.62744903564453,31,34,49,752,752,1094
1787460942,224.6,66.0,96.0,430.17,2797.0,68.0,63.00000762939453,65.0,2163.46142578125,2205.88232421875,68.62744903564453,31,34,49,749,753,1086
1787460943,226.1,66.0,95.0,432.17,2805.0,68.0,62.87500762939453,58.125003814697266,2156.549560546875,2205.88232421875,68.62744903564453,31,34,49,747,755,1090
1787460945,227.6,66.0,94.0,426.9,2805.0,68.0,62.12500762939453,58.375003814697266,2163.46142578125,2205.88232421875,68.62744903564453,31,34,49,752,755,1084
1787460946,229.1,65.0,95.0,421.56,2805.0,68.0,61.87500762939453,59.500003814697266,2170.41796875,2213.11474609375,68.62744903564453,31,34,49,752,749,1090
1787460948,230.6,66.0,93.0,424.74,2805.0,68.0,62.37500762939453,61.375003814697266,2163.46142578125,2213.11474609375,68.62744903564453,31,34,49,751,758,1084
1787460949,232.1,65.0,91.0,422.07,2805.0,68.0,62.87500762939453,64.625,2170.41796875,2202.283935546875,68.62744903564453,31,34,49,755,752,1090
1787460951,233.6,66.0,95.0,422.36,2805.0,68.0,64.87500762939453,65.5,2160.0,2177.41943359375,68.62744903564453,31,34,49,750,754,1088
1787460952,235.1,66.0,93.0,421.79,2805.0,68.0,64.50000762939453,63.250003814697266,2163.46142578125,2184.466064453125,68.62744903564453,31,34,49,750,760,1086
